country,name,summary
Poland,Lady with an Ermine,"The Lady with an Ermine is a portrait painting widely attributed to the Italian Renaissance artist Leonardo da Vinci. Dated to c. 1489–1491, the work is painted in oils on a panel of walnut wood. Its subject is Cecilia Gallerani, a mistress of Ludovico Sforza (""Il Moro""), Duke of Milan; Leonardo was painter to the Sforza court in Milan at the time of its execution. It is the second of only four surviving portraits of women painted by Leonardo, the others being Ginevra de' Benci, La Belle Ferronnière and the Mona Lisa.
Lady with an Ermine is now housed at the Czartoryski Museum in Kraków, and is one of Poland's national treasures. It is part of the Princes Czartoryski Collection, which was sold for €100 million (5% of the estimated market value of the entire collection)[5] on 29 December 2016 to the Polish government by Princes Czartoryski Foundation, represented by Adam Karol Czartoryski, the last direct descendant of Izabela Czartoryska Flemming and Adam George Czartoryski, who brought the painting to Poland from Italy in 1798."
Belarus,The Appearance of Christ Before the People,"The Appearance of Christ Before the People (Russian: Явление Христа народу Yavleniye Khrista narodu) or The Apparition of the Messiah is an oil painting on canvas, measuring 540 cm × 750 cm, by the Russian painter Alexander Andreyevich Ivanov (1806–1858).
The painting has been called his magnum opus and took twenty years to complete (1837–1857). The narrative of the painting is based on the first chapter of the Gospel according to John."
Switzerland,The Son of Man,"The Son of Man (French: Le fils de l'homme) is a 1964 painting by the Belgian surrealist painter René Magritte. It is perhaps his best-known artwork. Magritte painted it as a self-portrait.The painting consists of a man in an overcoat and a bowler hat standing in front of a low wall, beyond which are the sea and a cloudy sky. The man's face is largely obscured by a hovering green apple. However, the man's eyes can be seen peeking over the edge of the apple. Another subtle feature is that the man's left arm appears to bend backwards at the elbow."
Ireland,The Meeting on the Turret Stairs,"The Meeting on the Turret Stairs (or Hellelil and Hildebrand, the Meeting on the Turret Stairs) is an 1864 watercolor painting by Frederic William Burton. The painting is in the National Gallery of Ireland.
The subject of the painting is the love story of Hellelil, who fell in love with her personal guard Hildebrand. The story was taken from a medieval Danish ballad translated by the painter's friend Whitley Stokes and published in Fraser's Magazine, 1855, No.1, p. 89. The poet's sister Margaret Stokes later presented it to the museum.
She sat in her bower, with eyes of flame,
The translation of the same poem by William Morris called Hildebrand And Hellelil is more famous:
Hellelil sitteth in bower there
Original Scandinavian ballads are Stolts Hilla (Geijer & Afzelius #32) and Hilla Lilla (Ahlström No. 268).
George Eliot noted about it: ‘The subject might have been made the most vulgar thing in the world – the artist has raised it to the highest pitch of refined emotion’.
It was voted by the Irish public as Ireland's favourite painting in 2012 from among 10 works shortlisted by critics."
Denmark,The Little Mermaid,"""The Little Mermaid"" (Danish: Den lille havfrue) is a literary fairy tale written by the Danish author Hans Christian Andersen. The story follows the journey of a young mermaid who is willing to give up her life in the sea as a mermaid to gain a human soul. The tale was first published in 1837 as part of a collection of fairy tales for children. The original story has been a subject of multiple analyses by scholars such as Jacob Bøggild and Pernille Heegaard as well as the folklorist Maria Tatar. These analyses cover various aspects of the story from interpreting the themes to discussing why Andersen chose to write a tragic story with a happy ending. It has been adapted to various media, including musical theatre, anime, ballet, opera, and film. There is also a statue portraying the mermaid in Copenhagen, Denmark, where the story was written and first published."
Norway,The Scream,"The Scream is a composition created by Norwegian artist Edvard Munch in 1893. The Norwegian name of the piece is Skrik (Shriek), and the German title under which it was first exhibited is Der Schrei der Natur (The Scream of Nature). The agonized face in the painting has become one of the most iconic images of art, seen as symbolizing the anxiety of the human condition. Munch's work, including The Scream, would go on to have a formative influence on the Expressionist movement.
Munch recalled that he had been out for a walk at sunset when suddenly the setting sun's light turned the clouds ""a blood red"". He sensed an ""infinite scream passing through nature"". Scholars have located the spot to a fjord overlooking Oslo and have suggested other explanations for the unnaturally orange sky, ranging from the effects of a volcanic eruption to a psychological reaction by Munch to his sister's commitment at a nearby lunatic asylum.
Munch created two versions in paint and two in pastels, as well as a lithograph stone from which several prints survive. Both painted versions have been stolen, but since recovered. In 2012 one of the pastel versions commanded an at-the-time highest nominal price paid for an artwork at a public auction."
Hungary,The Art of Painting,"The Art of Painting (Dutch: Allegorie op de schilderkunst), also known as The Allegory of Painting, or Painter in his Studio, is a 17th-century oil on canvas painting by Dutch painter Johannes Vermeer. It is owned by the Austrian Republic and is on display in the Kunsthistorisches Museum in Vienna.
Many art historians think that it is an allegory of painting,hence the alternative title of the painting. Its composition and iconography make it the most complex Vermeer work of all. After Vermeer's Christ in the House of Martha and Mary and The Procuress it is his largest work.
This illusionistic painting is one of Vermeer's most famous. In 1868 Thoré-Bürger, known today for his rediscovery of the work of painter Johannes Vermeer, regarded this painting as his most interesting. Svetlana Alpers describes it as unique and ambitious;: 119  Walter Liedtke ""as a virtuoso display of the artist's power of invention and execution, staged in an imaginary version of his studio ...""According to Albert Blankert ""No other painting so flawlessly integrates naturalistic technique, brightly illuminated space, and a complexly integrated composition."
Russia,The Black Square,"Black Square (also known as The Black Square or Malevich's Black Square) is an iconic painting by Kazimir Malevich. The first version was done in 1915. Malevich made four variants of which the last is thought to have been painted during the late 1920s or early 1930s. Black Square was first shown in The Last Futurist Exhibition 0,10 in 1915. The work is frequently invoked by critics, historians, curators, and artists as the ""zero point of painting"", referring to the painting's historical significance and paraphrasing Malevich."
Kosovo,Kosovo Maiden,"The Kosovo Maiden or Maiden of the Blackbird's Field (Serbian: Косовка девојка / Kosovka devojka) is the central figure of a poem with the same name, part of the Kosovo cycle in the Serbian epic poetry. In it, a young beauty searches the battlefield for her betrothed fiancé and helps wounded Serbian warriors with water, wine and bread after the Battle of Kosovo in 1389 between Serbia and the Ottoman Empire. She finally finds the wounded and dying warrior Pavle Orlović who tells her that her fiancé Milan Toplica and his blood-brothers Miloš Obilić and Ivan Kosančić are dead. Before the battle they had given her a cloak, golden ring and veil for the wedding as a promise of safe return, but they were slain and Pavle pointed to the direction of the bodies. The poem finishes with;
""O wretch! Evil is your fortune!
The poem became very popular as a symbol of womanly compassion and charity. Serbian painter Uroš Predić took up the theme in 1919 with an oil painting of the same title. In 1907, Croatian sculptor Ivan Meštrović created a marble relief of the subject as a part of his Kosovo cycle. Another Croatian artist, painter Mirko Rački, painted a version of Kosovo Maiden."
Romania,The Proclamation of the Union,"The union of the Principalities is one of the crucial moments in the history of Romania. It was masterminded by political leaders of the two Romanian principalities - Wallachia and Moldavia - and achieved, as a stroke of political genius, on January 24, 1859 by the election of a single ruler in both states."
Sweden,The Fighting Temeraire,"The Fighting Temeraire, tugged to her last berth to be broken up, 1838 is an oil-on-canvas painting by the English artist Joseph Mallord William Turner, painted in 1838 and exhibited at the Royal Academy in 1839.

The painting depicts the 98-gun HMS Temeraire, one of the last second-rate ships of the line to have played a role in the Battle of Trafalgar, being towed up the Thames by a paddle-wheel steam tug in 1838, towards its final berth in Rotherhithe to be broken up for scrap.

The painting hangs in the National Gallery, London, having been bequeathed to the nation by the artist in 1851, as part of the Turner Bequest. In a poll organised by BBC Radio 4's Today programme in 2005, it was voted the nation's favourite painting.In 2020 it was included on the new £20 banknote, along with the artist's 1799 self-portrait."
Finland,The Wounded Angel,"The Wounded Angel (Finnish: Haavoittunut enkeli; Swedish: Sårad ängel; 1903) is a painting by Finnish symbolist painter Hugo Simberg. It is one of the most recognizable of Simberg's works, and was voted Finland's ""national painting"" in a vote held by the Ateneum art museum in 2006. In a similar 2013 vote held by Nordic Moneta, it was voted second most important."
